"","ALB","HP","MT.ATP6","APOA2","MT.ATP8","SAA1","MT.CO1","MT.CO2","MT.CO3","SAA2","MT.ND4","ORM1","MT.ND3","SERPINA1","FTL","APOC3","MT.ND2","MT.ND4L","APOC1","MT.CYB","APOA1","MT.ND1","CLPS","C3","FGB","FGA","CRP","RBP4","MT1G","FGG","MT.ND6","APOE","TF","B2M","REG3A","CLU","CYP2E1","TTR","FABP1","ORM2","SERPINA3","APOH","GLUL","MT2A","AMBP","APOC2","MT.ND5","FTH1","PRSS1","MT1B","MT1X","CES1","RPS27","EEF1A1","ALDOB","FGL1","PLA2G2A","HPX","RPS18","CFB","SPINK1","VTN","RPL8","TMSB4X","AHSG","NNMT","AFP","RPS19","SERPINC1","APOA4","EPHX1","TPT1","C4A","GAPDH","C4B","RPL39","RPL10","RPL37A","C1R","RPL13A","HPD","RPS24","A1BG","IL32","RPL30","GC","RPS16","ADH1B","RPS21","SERPING1","SPP1","TMSB10","MT1E","REG1A","IFI27","RPS29","HRG","RPL13","CD74","APCS","Category"
"TCGA-BD-A3EP-01A-11R-A22L-07",292889.12,211455.3,402881.61,783730.52,316094.29,97965.44,614902.29,614902.29,492579.5,63742.91,348306.01,811368.76,288856.81,978355,857631.47,531605.79,242898.5,175363.84,343510.77,290865.98,139508.13,204252.32,0,345900.08,147462.67,175363.84,389157.95,117311.73,5791.62,141455.6,237899.7,143430.26,55107.99,174152.51,17.38,80125.95,35363.15,36357.37,38966.94,271387.49,244588,85283.74,11584.24,24660.96,146444.06,156954.93,100719.65,237899.7,0,0,10585.95,88291.3,88291.3,119776.72,33688.23,96616.71,20310.37,79022.82,70238.75,99333,139508.13,118949.35,58250.19,52863.07,22225.61,29736.59,493.56,56657.31,20593.91,4123.49,42346.82,112532.89,94628.34,59887.86,99333,63742.91,84694.64,62865.33,47642.77,61146.25,4066.71,36864.92,46662.28,24660.96,57847.82,55107.99,47974.16,13776.25,46019.85,88291.3,6699.25,35118.87,2319.15,149.12,2935.74,89523.81,16383,54727.32,35363.15,32540.65,1
"TCGA-BC-A10R-01A-11R-A131-07",1472666.19,53230.77,1155430.26,277089.94,932018.1,3212.66,1264380.15,783730.52,778316.89,1447.15,789181.81,64632.75,434801.29,260332.24,211455.3,305326.92,736332.6,462789.59,472513.8,619179.28,19214.73,577714.63,0,275175.93,200048.85,149521.18,68318.04,187950.38,878.17,107203.06,305326.92,231394.29,19618.49,88291.3,0,174152.51,1191.69,2319.15,23009.42,22850.48,22850.48,21617.82,8718.32,3443.31,71714.63,186652.11,164758.26,103551.29,19.25,0,1605.83,66449.85,62865.33,63302.6,22072.07,67377.47,6121.9,55491.3,30572.63,31650.8,7695.57,69271.73,26614.89,80125.95,3982.99,5913.33,277.2,35609.13,27553.49,8479.89,82951.62,44452.21,49666,45072.75,61999.83,49666,50011.46,47974.16,31870.96,52497.92,13033.07,26986.43,1794.29,8901.53,27745.15,90773.53,30361.44,39237.98,21172.91,55491.3,57847.82,57448.23,241.19,12.18,1745.2,26986.43,100023.92,47974.16,10733.74,25354.3,1
"TCGA-CC-A8HU-01A-11R-A36F-07",1012856.65,57847.82,282912.21,912837.43,169390.27,1617,329517.51,246289.25,324980.94,275.28,228208.61,144427.91,109455.64,87075.75,280957.98,103551.29,146444.06,91404.92,239554.43,179048.63,92040.7,99333,0,97288.74,44452.21,47974.16,1781.89,88291.3,9409.14,44452.21,42937.97,212926.09,41475.31,72213.45,612.11,44761.41,105.15,19892.37,24321.43,37901.36,3564.78,34158.52,6792.79,6935.54,47642.77,86474.27,25708.25,72213.45,0,9.85,7280.4,8778.97,177811.84,130165.62,35118.87,11189.6,26.28,14361.31,96616.71,20881.4,6.67,48307.85,51062.33,22692.63,43236.64,363.56,53601.03,81244.48,23986.58,825,28132.47,44452.21,34876.28,104996.83,36864.92,143430.26,99333,82951.62,4802.93,92040.7,10659.59,87075.75,18052.61,25708.25,66449.85,35609.13,100023.92,95.34,130165.62,9673.69,3847.29,22535.88,2287.2,12.83,2855.44,54349.29,9215.48,45386.27,3847.29,15075.35,1
"TCGA-BC-A10S-01A-22R-A131-07",1108362.75,649962.87,822695.06,746611.43,391864.76,343510.77,148488.36,589853.66,506427.83,168220.2,292889.12,558035.51,845824.19,767601.56,402881.61,284880.02,520665.48,112532.89,706337.4,256748.15,267651.2,303217.87,0,414208.18,267651.2,286861.53,142439.51,236256.4,9279.58,248002.34,42346.82,225066.78,72715.74,181548.07,8.58,85876.94,4010.71,59887.86,163620.18,120609.84,116501.39,131071,7032.37,45386.27,110983.6,168220.2,30999.42,126606.21,0,0,19482.97,36864.92,114897.47,131982.68,25708.25,48982.22,74.06,56657.31,76861.91,97965.44,70238.75,129266.49,94628.34,77396.54,44145.15,28328.16,256.78,59474.18,38697.77,43.94,18950.18,123144.13,121448.75,48307.85,116501.39,68793.23,71714.63,87681.42,76330.98,76330.98,38430.46,63302.6,81244.48,81244.48,102125.66,51417.5,53973.86,39785.74,35609.13,50359.33,473.41,32994.92,12415.75,35.5,2591.27,88291.3,45072.75,80125.95,31870.96,25354.3,1
"TCGA-CC-A3M9-01A-11R-A213-07",480.04,426.57,186652.11,511,120609.84,129.69,167058.21,195931.88,137587.47,81.71,138544.47,217.27,119776.72,6079.61,288856.81,172.65,94628.34,42346.82,25887.07,58250.19,59.13,70238.75,0,2627.46,119.26,99.43,105.15,2061.24,1233.75,107.38,23169.48,39785.74,38.95,400098.69,0,1407.55,67.12,16.15,41.52,43.63,148.09,48.87,6745.86,15499.21,38.12,1127.35,9876.98,124863.17,0,0,3982.99,39.22,103551.29,104996.83,25.54,38.67,9.56,24.81,67377.47,785.88,78.34,60.82,81244.48,581732.96,15.68,13586.57,40.93,104271.56,12.83,1.08,1551.09,61999.83,2303.12,126606.21,2319.15,104996.83,125731.67,67846.12,7749.1,118949.35,29.48,93325.55,305.55,16045.82,78476.96,34.26,72213.45,10,75280.1,7537.18,8963.45,189257.69,5995.9,0,12502.12,109455.64,9.34,41475.31,181548.07,25.72,1
"TCGA-DD-A3A5-01A-11R-A22L-07",277089.94,472513.8,472513.8,502929.67,197294.7,28723.62,292889.12,462789.59,324980.94,11745.96,288856.81,282912.21,365622.68,260332.24,179048.63,550352.86,197294.7,93325.55,524287,207103.59,331809.5,169390.27,0,527933.71,95949.32,74243.68,902.89,365622.68,99.43,76330.98,211455.3,301123.38,165904.25,91404.92,14.89,131071,547.75,165904.25,34876.28,90146.51,52863.07,107203.06,3235.01,3847.29,195931.88,162489.97,46019.85,104996.83,0,0,1594.73,40904.3,114103.8,104271.56,102125.66,17437.64,197.09,87075.75,50359.33,76330.98,65.72,143430.26,32994.92,17558.94,58250.19,21768.19,30.78,45701.96,69753.56,7.06,44452.21,42937.97,127486.83,70727.3,138544.47,56265.94,63742.91,73221.53,96616.71,70238.75,50359.33,48982.22,84109.6,140478.49,52135.28,47974.16,55107.99,6699.25,69753.56,107203.06,33.54,19892.37,163.28,0,13123.73,79572.48,93974.69,57847.82,17078.76,11504.21,1
"TCGA-DD-AADV-01A-11R-A39D-07",978355,205673.01,378516.38,469249.9,492579.5,4268.94,492579.5,341137.96,383800.28,1963.57,262143,52135.28,231394.29,294926.33,345900.08,225066.78,254974.66,223512.12,434801.29,186652.11,343510.77,229795.93,0,348306.01,76861.91,85876.94,4181.07,162489.97,14971.21,74760.09,62865.33,358098.26,176583.6,114897.47,5.73,217400.14,518.15,89523.81,26248.46,21919.61,41475.31,111755.56,7803.01,25005.23,94628.34,136637.07,49322.93,115696.65,0,11.04,15180.22,46986.85,118127.7,115696.65,55877.28,23492.92,142.01,62865.33,81244.48,80683.28,1023,136637.07,33224.42,27553.49,26800.01,2485.67,156.59,43236.64,69271.73,57.49,69753.56,54727.32,77396.54,46339.95,81244.48,55491.3,63742.91,65535,42346.82,58250.19,23656.34,65990.84,30785.28,30572.63,59474.18,46662.28,59063.35,17078.76,52863.07,67377.47,2384.37,25354.3,10659.59,11.38,8963.45,77396.54,75280.1,47313.67,21468.49,9876.98,1
"TCGA-DD-AADB-01A-11R-A41C-07",408505.64,55877.28,292889.12,887875.81,265802.39,723.08,619179.28,414208.18,428815.23,395.18,322736.12,208544.12,251464.33,284880.02,731246.37,39785.74,263966.36,221968.2,343510.77,181548.07,236256.4,220434.95,0,163620.18,42937.97,44145.15,4066.71,104996.83,2255.7,29124.6,25708.25,301123.38,126606.21,107948.72,0,127486.83,50709.61,24321.43,141455.6,54727.32,77934.88,65990.84,7857.29,8598.28,88905.42,131071,26431.04,110983.6,0,10.24,4152.18,6607.01,85283.74,123144.13,2133.97,13586.57,100.83,14163.58,79022.82,37901.36,11827.67,46019.85,74243.68,50359.33,72213.45,1733.13,35856.82,110983.6,7857.29,19.68,8479.89,65990.84,58655.36,60304.42,58655.36,49322.93,58250.19,81244.48,27363.16,102836.01,825,88291.3,38966.94,12943.04,75803.72,43236.64,75803.72,4972.34,40904.3,25530.66,563.18,46339.95,4388.98,0,3060.45,54727.32,4481.23,46339.95,31215.04,22072.07,1
"TCGA-G3-A3CH-01A-11R-A22L-07",1524599.69,269512.87,1255646.43,614902.29,1187913.85,5555.65,1238359.56,834179.46,958220.73,1167.14,811368.76,141455.6,402881.61,197294.7,231394.29,417089.23,363097.14,466008.55,641014.63,589853.66,422911.59,383800.28,0,174152.51,93974.69,127486.83,10659.59,153724.82,450.94,90146.51,116501.39,262143,143430.26,123144.13,0,165904.25,169.07,58655.36,70727.3,53230.77,55877.28,69753.56,6983.79,8479.89,114897.47,144427.91,85876.94,88291.3,0,0,3768.09,45701.96,69753.56,100719.65,116501.39,45386.27,1030.12,36106.23,52863.07,62865.33,4.35,90773.53,47313.67,40062.48,46019.85,24832.5,239.52,63302.6,70238.75,32.59,50709.61,48982.22,42054.3,42937.97,43840.21,39785.74,63302.6,54727.32,48307.85,51417.5,28923.41,54349.29,52863.07,70727.3,65535,36357.37,39785.74,7331.05,35609.13,33224.42,204.07,24153.43,5954.47,0,40904.3,35363.15,66449.85,39785.74,38966.94,7280.4,1
"TCGA-2V-A95S-01A-11R-A37K-07",1055868.42,7966.99,182810.84,1943195.01,131982.68,708.18,124863.17,348306.01,151608.43,224.97,130165.62,42346.82,136637.07,822695.06,370726.6,10959.3,161367.56,43236.64,269512.87,100023.92,290865.98,65082.31,0,256748.15,105727.15,96616.71,1242.34,42937.97,423.61,90773.53,17558.94,53230.77,66449.85,443937.41,118.43,75803.72,7331.05,6037.61,258533.99,15934.98,56657.31,70238.75,5183.54,4671.57,100719.65,150561.19,13306.94,204252.32,0,0,791.35,150561.19,120609.84,111755.56,6381.92,29327.18,181548.07,3982.99,48307.85,19348.38,100023.92,205673.01,85876.94,71219.26,7081.29,32994.92,4181.07,86474.27,4450.27,3.76,5913.33,87075.75,32315.87,27363.16,31650.8,48982.22,96616.71,83528.61,9540.5,67846.12,22.92,64632.75,21468.49,101420.22,86474.27,20881.4,47974.16,1183.45,37639.55,16157.44,5366.37,126606.21,909.17,8.78,24153.43,69271.73,59063.35,72715.74,137587.47,2075.59,1
"TCGA-ED-A459-01A-11R-A266-07",389157.95,632189.57,443937.41,434801.29,375901.76,654483.73,408505.64,345900.08,191899.64,350728.68,343510.77,324980.94,341137.96,419990.32,456418.21,303217.87,214407.12,187950.38,189257.69,159145.95,254974.66,145432.49,0,239554.43,161367.56,244588,305326.92,107203.06,4639.29,225066.78,142439.51,123144.13,108699.57,311742.51,353.59,249727.34,1794.29,13306.94,77396.54,40904.3,94628.34,59887.86,6079.61,7081.29,27363.16,159145.95,75280.1,169390.27,0,0,4769.75,23169.48,79022.82,99333,15075.35,103551.29,12764.83,57051.4,42054.3,87075.75,4639.29,45072.75,45072.75,120609.84,16611.71,46339.95,121.79,46019.85,10808.41,422911.59,8840.04,50011.46,57847.82,131071,61571.56,100719.65,101420.22,44761.41,56657.31,33688.23,4836.35,32767,8191,244588,46019.85,25354.3,46662.28,392.44,36106.23,66912.05,5479.15,62431.08,2209.26,56265.94,5872.48,31432.17,6840.04,25887.07,100023.92,43840.21,1
"TCGA-G3-A25V-01A-11R-A16W-07",1147449.11,687022.54,492579.5,524287,324980.94,431797.89,375901.76,450134.56,489177,322736.12,329517.51,938500.81,368165.8,1147449.11,716197.51,383800.28,233003.78,101420.22,619179.28,217400.14,277089.94,190574.09,0,329517.51,273275.14,260332.24,363097.14,241220.67,32315.87,228208.61,118949.35,142439.51,93974.69,292889.12,51.71,154794.07,34635.37,62431.08,110216.97,124863.17,279017.26,97965.44,11267.44,76330.98,136637.07,148488.36,39785.74,165904.25,0,4.74,31870.96,172949.54,77396.54,127486.83,49666,83528.61,93974.69,77934.88,65535,112532.89,14163.58,111755.56,54349.29,55491.3,29327.18,62431.08,224.97,49666,37639.55,16496.96,33922.56,102125.66,96616.71,65990.84,95949.32,54349.29,57051.4,65535,69271.73,61571.56,30999.42,51062.33,63302.6,52863.07,57847.82,66449.85,37379.55,29327.18,40341.14,60304.42,96616.71,29736.59,19348.38,262.2,22225.61,70727.3,46662.28,61999.83,28525.2,43840.21,1
"TCGA-DD-AAEH-01A-11R-A41C-07",1727194.55,228208.61,845824.19,682276.92,817012.28,8658.09,900270.11,932018.1,520665.48,3540.14,619179.28,163620.18,711250.37,200048.85,318292.9,659036.03,437825.58,370726.6,619179.28,381149.17,301123.38,316094.29,0,391864.76,102125.66,108699.57,65535,254974.66,327.56,71219.26,58250.19,187950.38,96616.71,205673.01,26.47,108699.57,90146.51,134755.94,41475.31,34396.12,65990.84,125731.67,6840.04,2935.74,152662.96,118127.7,55491.3,76861.91,0,0,896.64,57847.82,123144.13,73221.53,102836.01,9474.59,2090.03,45072.75,131982.68,130165.62,325.29,102125.66,56265.94,51775.15,35856.82,7382.04,518.15,84109.6,93325.55,12.27,88291.3,174152.51,151608.43,33224.42,158046.64,49322.93,101420.22,71714.63,31432.17,66912.05,62865.33,64632.75,51062.33,46986.85,76861.91,30361.44,53601.03,14663.09,55491.3,102836.01,155.5,19082,551.56,7.51,2915.45,53973.86,40621.74,47313.67,46019.85,47974.16,1
"TCGA-DD-A11B-01A-11R-A131-07",1290947.48,234624.45,851707.37,772940.66,978355,23986.58,649962.87,492579.5,701458.36,7857.29,645473.24,106462.55,381149.17,499455.67,145432.49,489177,331809.5,329517.51,282912.21,355624.68,212926.09,400098.69,0,318292.9,77934.88,94628.34,26800.01,294926.33,229.72,76861.91,55877.28,93974.69,204252.32,100719.65,0,290865.98,50709.61,46986.85,79572.48,50359.33,84109.6,172949.54,10883.59,1508.65,87075.75,197294.7,36864.92,69271.73,12.45,0,1135.2,22535.88,59887.86,75803.72,39237.98,16383,9740.98,76330.98,36357.37,105727.15,123.5,160252.91,27938.14,25530.66,93974.69,5366.37,738.29,27938.14,114897.47,450.94,70727.3,77396.54,49666,68793.23,45701.96,25708.25,33922.56,30572.63,46662.28,34158.52,49666,39237.98,34635.37,8778.97,24153.43,104996.83,23820.89,24321.43,26067.14,61571.56,244.57,7642.41,909.17,0,878.17,46019.85,90146.51,17681.08,6792.79,61146.25,1
"TCGA-DD-A4NB-01A-12R-A266-07",236256.4,539026.74,1327240.99,104996.83,1308968.45,138544.47,1634025.56,1308968.45,1355129.16,124000.67,985160.01,244588,817012.28,320506.81,336441.4,80125.95,598087.73,636586.81,280957.98,887875.81,66449.85,453265.5,0,220434.95,324980.94,360589.03,273275.14,336441.4,4512.4,307450.64,110216.97,156954.93,29124.6,237899.7,29.48,142439.51,65082.31,1857.6,18431.96,81244.48,19754.96,39510.91,1286.18,42054.3,88291.3,152662.96,100719.65,75803.72,0,0,14663.09,30999.42,69271.73,104271.56,38697.77,107948.72,121448.75,43537.38,57051.4,55107.99,110.43,45386.27,35856.82,65082.31,3515.68,33455.53,226.54,53230.77,7081.29,50709.61,11827.67,85876.94,51417.5,111755.56,50709.61,61146.25,51062.33,61571.56,44452.21,48307.85,100719.65,46019.85,19082,24321.43,38164.99,81244.48,36357.37,30999.42,32092.64,47313.67,28923.41,33922.56,13215.02,551.56,1605.83,35363.15,4123.49,55107.99,20881.4,37901.36,1
"TCGA-CC-5258-01A-01R-A131-07",2425749.94,136637.07,167058.21,1402917.72,179048.63,1733.13,184082.4,218912.29,73730.83,1447.15,182810.84,146444.06,104996.83,610654.84,513497.31,50359.33,111755.56,136637.07,136637.07,65082.31,174152.51,114103.8,0,1059.11,120609.84,93325.55,13586.57,75803.72,343.89,73730.83,66912.05,71219.26,136637.07,82951.62,3.32,122293.5,703.28,40904.3,124000.67,34396.12,15180.22,59474.18,12076.21,988.12,52863.07,54727.32,47313.67,162489.97,3,0,511,9215.48,133825.1,322736.12,13681.08,18431.96,56.28,31215.04,114103.8,50709.61,36357.37,55491.3,147462.67,33922.56,65082.31,909.17,260332.24,55107.99,14461.21,113.56,40341.14,65990.84,59063.35,107203.06,57847.82,233003.78,61571.56,92040.7,23820.89,75803.72,2609.3,115696.65,25708.25,7180.15,108699.57,96616.71,45072.75,947.83,41763.8,26431.04,1208.34,21320.18,392.44,0,1331.57,92040.7,4239.45,56265.94,17804.06,2796.65,1
"TCGA-DD-A4NN-01A-11R-A28V-07",602247.76,12943.04,307450.64,1093103.58,215898.44,395.18,336441.4,355624.68,299043.36,343.89,179048.63,121448.75,273275.14,938500.81,223512.12,118949.35,134755.94,57847.82,236256.4,122293.5,313910.86,184082.4,0,260332.24,48643.87,61146.25,753.83,65082.31,13.32,38430.46,77396.54,191899.64,146444.06,42054.3,2.86,141455.6,21026.65,73730.83,21320.18,17558.94,42641.37,147462.67,11035.54,514.56,35609.13,237899.7,28923.41,50011.46,0,0,84.04,9474.59,251464.33,75280.1,3794.3,7130.55,108.9,42937.97,116501.39,66912.05,20310.37,208544.12,62431.08,43236.64,97288.74,414.87,2976.74,108699.57,19348.38,43.32,50011.46,63302.6,21468.49,64632.75,22225.61,73730.83,74243.68,93325.55,10585.95,96616.71,1709.26,93974.69,19348.38,6840.04,69271.73,36864.92,73730.83,5147.73,94628.34,8901.53,180.02,47642.77,55.1,4.94,791.35,107948.72,3443.31,53601.03,6887.62,1143.1,1
"TCGA-ED-A7XO-01A-11R-A352-07",1078054.48,391864.76,499455.67,593956.43,381149.17,51775.15,368165.8,554180.87,462789.59,21919.61,260332.24,226632.25,453265.5,375901.76,269512.87,414208.18,197294.7,110983.6,606436.73,208544.12,288856.81,204252.32,0,260332.24,86474.27,87681.42,13872.08,198667,33688.23,81244.48,64186.29,447025.24,288856.81,104271.56,3.76,100023.92,20170.07,236256.4,83528.61,81244.48,60304.42,122293.5,5517.27,46019.85,169390.27,146444.06,36357.37,86474.27,6.46,0,17927.91,46019.85,106462.55,113315.62,81244.48,15075.35,1159.07,74243.68,57448.23,92040.7,521.76,122293.5,47313.67,34158.52,79572.48,23009.42,195.72,81244.48,84694.64,55.1,46019.85,59063.35,60304.42,73730.83,61146.25,64632.75,74243.68,53601.03,37379.55,60723.88,40341.14,40062.48,80683.28,74243.68,51417.5,45072.75,78476.96,9344.14,54349.29,52497.92,536.45,24660.96,17927.91,0,23656.34,116501.39,36610.26,83528.61,20170.07,20451.65,1
"TCGA-UB-A7MF-01A-11R-A33J-07",1864037.21,88291.3,400098.69,546551.29,249727.34,1487.87,365622.68,348306.01,360589.03,536.45,202841.44,50359.33,103551.29,228208.61,221968.2,307450.64,71219.26,57051.4,197294.7,137587.47,187950.38,85283.74,0,187950.38,153724.82,135693.24,64186.29,131982.68,450.94,128373.58,30572.63,292889.12,176583.6,506427.83,0,80683.28,195.72,7642.41,45386.27,17317.18,2796.65,46339.95,3742.05,8598.28,145432.49,110983.6,15285.81,123144.13,0,2.48,878.17,32315.87,100719.65,65535,41763.8,41475.31,140478.49,31215.04,52135.28,88291.3,209.84,91404.92,31650.8,72213.45,29531.18,17804.06,17558.94,62431.08,21468.49,2935.74,28328.16,34876.28,171754.88,118127.7,185362.8,53973.86,65535,49666,67377.47,52135.28,3540.14,41188.81,10733.74,127486.83,33455.53,110216.97,46019.85,6652.97,51417.5,90146.51,1950,59063.35,275.28,0,84694.64,91404.92,5711.87,24321.43,158046.64,54727.32,1
"TCGA-G3-A3CG-01A-11R-A213-07",869603.57,845824.19,677564.08,1600397.78,585779.24,25179.16,539026.74,778316.89,402881.61,18950.18,234624.45,645473.24,234624.45,485798,207103.59,373305.21,193234.41,139508.13,593956.43,147462.67,35609.13,106462.55,0,316094.29,324980.94,320506.81,225066.78,204252.32,366.09,208544.12,38966.94,159145.95,61999.83,311742.51,9.56,71219.26,19892.37,8421.31,54349.29,122293.5,187950.38,72213.45,9344.14,32540.65,118949.35,153724.82,31870.96,89523.81,0,0,26614.89,26614.89,93974.69,70238.75,44452.21,62.56,19082,84694.64,45072.75,97288.74,212926.09,28525.2,34635.37,20881.4,46986.85,80683.28,301.33,32092.64,93974.69,253.23,42054.3,54349.29,81244.48,53230.77,88905.42,51417.5,71219.26,42346.82,45701.96,37901.36,2739.08,33688.23,38164.99,27938.14,37121.34,59474.18,24490.61,15075.35,21468.49,90773.53,1844.76,16611.71,6887.62,0,75803.72,35118.87,29327.18,43236.64,25179.16,64632.75,1
"TCGA-CC-5263-01A-01R-A131-07",887875.81,15499.21,221968.2,66449.85,229795.93,293.07,184082.4,191899.64,149521.18,181.28,208544.12,60304.42,126606.21,116501.39,151608.43,22225.61,136637.07,161367.56,44452.21,89523.81,320.8,103551.29,11909.94,102836.01,52497.92,51062.33,759.08,26986.43,273.37,57847.82,22850.48,18950.18,100023.92,84694.64,5441.3,55107.99,79.45,4298.64,1208.34,7081.29,3124.78,39785.74,3982.99,1397.83,48982.22,2104.58,20170.07,124863.17,3018.3,5.36,1127.35,16843.62,69271.73,121448.75,4607.24,6840.04,2133.97,3303,55491.3,39510.91,50709.61,55877.28,41188.81,91404.92,1617,1359.57,2004.85,25005.23,1216.75,74.06,8363.13,38966.94,115696.65,258533.99,95286.54,39237.98,45386.27,51417.5,22072.07,46986.85,5.02,42641.37,583.07,9279.58,35609.13,77934.88,25005.23,1437.15,34635.37,8718.32,10512.82,36610.26,221.86,16157.44,599.49,58655.36,234.57,22850.48,19892.37,6079.61,1
"TCGA-DD-AACN-01A-11R-A41C-07",322736.12,95949.32,244588,531605.79,329517.51,23820.89,437825.58,299043.36,267651.2,6516.03,176583.6,161367.56,155870.75,363097.14,202841.44,263966.36,100719.65,191899.64,265802.39,138544.47,305326.92,114103.8,0,249727.34,88291.3,92040.7,19892.37,167058.21,14461.21,89523.81,38966.94,135693.24,106462.55,98646.85,20.26,194578.47,45701.96,40341.14,64186.29,52135.28,147462.67,93974.69,14461.21,28525.2,109455.64,146444.06,33224.42,77934.88,0,0,27938.14,12502.12,189257.69,258533.99,20030.74,10440.2,169.07,37901.36,208544.12,33224.42,187.71,103551.29,106462.55,70727.3,23330.64,20451.65,5517.27,133825.1,28923.41,7.46,29943.43,93974.69,64632.75,27938.14,68793.23,90146.51,113315.62,127486.83,23986.58,103551.29,7537.18,107203.06,31215.04,16843.62,129266.49,45701.96,81809.59,12676.65,77396.54,38966.94,466.88,57847.82,10585.95,31.22,2875.3,111755.56,7966.99,87681.42,17078.76,26431.04,1
"TCGA-ED-A97K-01A-21R-A38B-07",208544.12,239554.43,469249.9,60723.88,513497.31,104996.83,645473.24,345900.08,368165.8,73730.83,358098.26,171754.88,296977.71,338781.54,156954.93,45701.96,294926.33,322736.12,77396.54,242898.5,47642.77,248002.34,0,128373.58,95286.54,99333,75280.1,32994.92,25005.23,84109.6,137587.47,40904.3,15824.9,217400.14,229.72,48982.22,10959.3,5147.73,17927.91,30999.42,55107.99,21768.19,9474.59,25887.07,23492.92,27553.49,115696.65,75280.1,8.13,2997.45,9215.48,7537.18,74760.09,93325.55,13776.25,36610.26,3639.7,23330.64,72213.45,49666,13399.51,25887.07,56265.94,135693.24,8778.97,17197.56,55.89,54349.29,7280.4,1030.12,3081.75,75803.72,38430.46,42937.97,43537.38,34158.52,40904.3,48307.85,28525.2,53230.77,4802.93,32767,13586.57,22225.61,38164.99,17558.94,33922.56,7032.37,30572.63,34635.37,13776.25,42346.82,6652.97,981.29,3928.15,52863.07,5329.3,58655.36,25354.3,17558.94,1
"TCGA-CC-A7IK-01A-12R-A33R-07",195931.88,15180.22,373305.21,751804.53,428815.23,55.89,450134.56,355624.68,459592.86,2.16,322736.12,16157.44,246289.25,116501.39,1147449.11,125731.67,146444.06,249727.34,450134.56,211455.3,12853.63,223512.12,0,42937.97,23009.42,29943.43,3.29,81809.59,4038.61,24490.61,46339.95,111755.56,296977.71,55877.28,6.57,150561.19,54349.29,21919.61,3665.02,12244.81,995,97288.74,161367.56,16496.96,121448.75,40621.74,42054.3,138544.47,0,0,7032.37,277089.94,150561.19,162489.97,7331.05,3716.2,191.67,4769.75,99333,14561.8,0,36357.37,71714.63,15180.22,38697.77,60.39,320.8,37379.55,41188.81,7.17,127486.83,90146.51,14663.09,42937.97,12853.63,51417.5,46662.28,121448.75,4512.4,77934.88,21468.49,67846.12,11345.82,4152.18,104996.83,20593.91,38430.46,25005.23,52135.28,10084.54,27363.16,8840.04,7230.1,26.67,17078.76,90146.51,1594.73,90773.53,5672.41,9945.68,1
"TCGA-G3-AAV1-01A-11R-A38B-07",513497.31,242898.5,558035.51,985160.01,577714.63,1605.83,1041331.96,875652.15,767601.56,775.05,682276.92,12853.63,443937.41,236256.4,405683.88,172949.54,654483.73,614902.29,443937.41,558035.51,195931.88,350728.68,0,84694.64,74760.09,114103.8,172.65,193234.41,3212.66,77934.88,237899.7,146444.06,50011.46,88291.3,221968.2,92040.7,107948.72,18560.17,44761.41,7911.95,11035.54,123144.13,94628.34,6699.25,72213.45,79022.82,187950.38,83528.61,0,0,6337.83,113315.62,86474.27,189257.69,51775.15,61571.56,212.78,15180.22,81244.48,26067.14,143.01,38697.77,68793.23,19082,104271.56,1199.98,209.84,35118.87,46339.95,112.77,65082.31,113315.62,16611.71,86474.27,17558.94,59474.18,75803.72,64632.75,21320.18,45701.96,54349.29,56265.94,18052.61,24153.43,73221.53,34158.52,34876.28,39237.98,36610.26,32767,20881.4,15075.35,1733.13,633.73,8363.13,38164.99,17197.56,36106.23,14361.31,11424.74,1
"TCGA-YA-A8S7-01A-11R-A37K-07",186652.11,368165.8,218912.29,23820.89,248002.34,229795.93,242898.5,169390.27,226632.25,70238.75,142439.51,112532.89,93325.55,368165.8,736332.6,20030.74,77396.54,71714.63,161367.56,102125.66,15075.35,75803.72,0,212926.09,55491.3,63302.6,5954.47,11267.44,5672.41,50359.33,10084.54,171754.88,20451.65,186652.11,23.93,71219.26,5872.48,8538.88,5112.16,37901.36,44452.21,9740.98,7749.1,38164.99,18950.18,8134.41,10154.69,350728.68,0,13.32,30785.28,139508.13,169390.27,126606.21,5555.65,14065.74,5006.93,6337.83,84109.6,9151.82,7642.41,5329.3,113315.62,231394.29,1844.76,43236.64,384.34,101420.22,2739.08,255,16045.82,69271.73,77396.54,100023.92,76330.98,97288.74,139508.13,86474.27,33922.56,91404.92,2434.5,53230.77,3690.52,20881.4,80683.28,2384.37,63742.91,1883.54,47313.67,10883.59,118127.7,93974.69,7966.99,10440.2,21026.65,88905.42,1322.37,130165.62,76330.98,10084.54,1
